hash,ad_id,media_type,ending,filepath
6c038926acec82d75f876cdd2f6d3475,adid_3696513720568841_1,img,jpg,media/waiting_room/3696513720568841_1.jpg
8c9292cbec156bea82f8579cd842e88b,adid_3696513720568841_2,img,jpg,media/waiting_room/3696513720568841_2.jpg
ec4bf01da84dc6ce01b7474c722f167f,adid_3696513720568841_3,img,jpg,media/waiting_room/3696513720568841_3.jpg
78a37eb6b6cf8ffc5d5afe9db6b5c7eb,adid_3696513720568841_4,img,jpg,media/waiting_room/3696513720568841_4.jpg
72d49e313744fc0f2eadd918ed78d478,adid_3696513720568841_5,img,jpg,media/waiting_room/3696513720568841_5.jpg
af2a26f10e1606e3c587fdd5c52c9e3e,adid_3696513720568841_6,img,jpg,media/waiting_room/3696513720568841_6.jpg
64e0c70cdeda6b0033c32ec5713de897,adid_3696513720568841_7,img,jpg,media/waiting_room/3696513720568841_7.jpg
a4d0716c7b0b15ad8a600bbdb8d51029,adid_3696513720568841_8,img,jpg,media/waiting_room/3696513720568841_8.jpg
4cb6eff0d26bb4b4e2412abe6c095ead,adid_3696513720568841_9,img,jpg,media/waiting_room/3696513720568841_9.jpg
a4e6dbcf1b8792e54592716950e1804c,adid_335937985560207_1,img,jpg,media/waiting_room/335937985560207_1.jpg
c04ae4f5959fcf6d06c8ab988c610feb,adid_335937985560207_2,img,jpg,media/waiting_room/335937985560207_2.jpg
31611ec8d3bbd5f51e9e22c0efcb4ee8,adid_335937985560207_3,img,jpg,media/waiting_room/335937985560207_3.jpg
8bc4c7437f17016b646b6d4a57802605,adid_335937985560207_4,img,jpg,media/waiting_room/335937985560207_4.jpg
28a954a4164dca021a78dcaca822d2f2,adid_335937985560207_5,img,jpg,media/waiting_room/335937985560207_5.jpg
a4e6dbcf1b8792e54592716950e1804c,adid_335937985560207_6,img,jpg,media/waiting_room/335937985560207_6.jpg
c04ae4f5959fcf6d06c8ab988c610feb,adid_335937985560207_7,img,jpg,media/waiting_room/335937985560207_7.jpg
31611ec8d3bbd5f51e9e22c0efcb4ee8,adid_335937985560207_8,img,jpg,media/waiting_room/335937985560207_8.jpg
8bc4c7437f17016b646b6d4a57802605,adid_335937985560207_9,img,jpg,media/waiting_room/335937985560207_9.jpg
28a954a4164dca021a78dcaca822d2f2,adid_335937985560207_10,img,jpg,media/waiting_room/335937985560207_10.jpg
480a5770a540d5a5f512e8df60846e20,adid_698466622222397,img,jpg,media/waiting_room/698466622222397.jpg
e6b2fd4258a8596a5d174eaa6e7a0a05,adid_320352947295865,img,jpg,media/waiting_room/320352947295865.jpg
ce13eab3011e776d85bad4cdeb69d2ae,adid_638414481797519,img,jpg,media/waiting_room/638414481797519.jpg
ce13eab3011e776d85bad4cdeb69d2ae,adid_6904542226232981,img,jpg,media/waiting_room/6904542226232981.jpg
7dab9f57d50f79d3abf5108ebcb4e2ad,adid_1791546684617523,img,jpg,media/waiting_room/1791546684617523.jpg
0a7e408f7561fedc0173cf2e52f0900b,adid_1290098738356640,vid,mp4,media/waiting_room/1290098738356640.mp4
dfd07d7994b5adef792f71e37be32a65,adid_3391509587828242_1,img,jpg,media/waiting_room/3391509587828242_1.jpg
33997d193ca1d2c94002067b8ccc016b,adid_3391509587828242_2,img,jpg,media/waiting_room/3391509587828242_2.jpg
47fc019f2e1891ec100856924e0f7f3d,adid_871104074328087_1,img,jpg,media/waiting_room/871104074328087_1.jpg
47fc019f2e1891ec100856924e0f7f3d,adid_871104074328087_2,img,jpg,media/waiting_room/871104074328087_2.jpg
47fc019f2e1891ec100856924e0f7f3d,adid_269278672323548_1,img,jpg,media/waiting_room/269278672323548_1.jpg
47fc019f2e1891ec100856924e0f7f3d,adid_269278672323548_2,img,jpg,media/waiting_room/269278672323548_2.jpg
28a26adfa74f294054d317126116e5b3,adid_1411996972993239_1,vid,mp4,media/waiting_room/1411996972993239_1.mp4
e8ae6a618d2aa4a74a144f336aef12b0,adid_1411996972993239_2,vid,mp4,media/waiting_room/1411996972993239_2.mp4
28a26adfa74f294054d317126116e5b3,adid_645381707800402_1,vid,mp4,media/waiting_room/645381707800402_1.mp4
e8ae6a618d2aa4a74a144f336aef12b0,adid_645381707800402_2,vid,mp4,media/waiting_room/645381707800402_2.mp4
b767b2cdc8c8229b1df4edc6ea072f45,adid_328768306434951,img,jpg,media/waiting_room/328768306434951.jpg
e9f2a14efa5199d8538a463709659eeb,adid_216759211437797,img,jpg,media/waiting_room/216759211437797.jpg
2261d421f289f57da8d7a33f15e5bd1f,adid_372548108446768,vid,mp4,media/waiting_room/372548108446768.mp4
2261d421f289f57da8d7a33f15e5bd1f,adid_883720746196584,vid,mp4,media/waiting_room/883720746196584.mp4
f55b782c190ace2802178a27a629a3d5,adid_1684944692030147,vid,mp4,media/waiting_room/1684944692030147.mp4
f55b782c190ace2802178a27a629a3d5,adid_244451571973067,vid,mp4,media/waiting_room/244451571973067.mp4
de3f1576eff02e58dfc173f010e2e2c4,adid_875672364235192,vid,mp4,media/waiting_room/875672364235192.mp4
633225b4a9f369c653f8217cc876bbff,adid_345197271522886,vid,mp4,media/waiting_room/345197271522886.mp4
e3471e7a116a08e0e32cf3dd4551dbbf,adid_879805730528644,vid,mp4,media/waiting_room/879805730528644.mp4
f8681fa030a672e650958d5b684c5f96,adid_1281658975863548_1,img,png,media/waiting_room/1281658975863548_1.png
e01f940d7f948d9413f4d6e08f6d3156,adid_1281658975863548_2,img,png,media/waiting_room/1281658975863548_2.png
005cb6349e3fe9db1bdeb0097a1b30f8,adid_1516351539114278_1,img,png,media/waiting_room/1516351539114278_1.png
a6438aee0646b0f11bbd168a0396cd85,adid_1516351539114278_2,img,png,media/waiting_room/1516351539114278_2.png
4ec33bcec17ad868fc2adab11a1f76b3,adid_845844637270080,vid,mp4,media/waiting_room/845844637270080.mp4
4ec33bcec17ad868fc2adab11a1f76b3,adid_265457519355862,vid,mp4,media/waiting_room/265457519355862.mp4
e3471e7a116a08e0e32cf3dd4551dbbf,adid_848848070033615,vid,mp4,media/waiting_room/848848070033615.mp4
005cb6349e3fe9db1bdeb0097a1b30f8,adid_700894008637831_1,img,png,media/waiting_room/700894008637831_1.png
